Episódio;Título;Descrição
1ª palestra 2021;Tradução de musicais — Victor Mühlethaler;Nesta palestra, vou apresentar o método de tradução de musicais que desenvolvi ao longo de muitos anos. Vou explicar a diferença entre tradução e versão, a importância da rima e da prosódia, a melhor maneira de começar uma versão, a busca pelo título perfeito, como evitar pegadinhas e erros comuns, como solucionar trechos aparentemente impossíveis e o que uma versão para o palco exige. E vou ilustrar tudo isso com histórias que vivi na minha carreira, desde desafios que encontrei durante o processo de tradução até como lidar com as demandas da equipe e do elenco de um grande musical.
Aula prática;Aula prática de tradução/localização de texto de turismo e viagem — Sofia Pulici;A Sofia passará ponto a ponto do texto traduzido (enviado como exercício aos assinantes), falará de estilo e função do texto, além de discutir opções e entender como lidar com soluções com as agências.
Aula aberta;Aula aberta do curso avançado de tradução médica — TRADUSA;Nessa aula, os professores do TRADUSA, Luciana Bonancio e Gilson Mattos, discutirão discutirão o contexto do mercado da tradução médica e as principais dificuldades nas versões para o inglês. Dentre os tópicos, teremos a inserção no mercado da tradução a partir do conhecimento em áreas específicas, a importância das Author Guidelines para tradutores e da estilística do texto, perpassando por questões relacionadas a relacionadas a decalques estrutural e tipográfico, verbosidade, vagueza e ambiguidade, falta de paralelismo e voz ativa x voz passiva. Também veremos um exemplo prático de um texto da área da saúde que foge aos padrões conhecidos.
Aula aberta;Aula aberta do curso avançado de tradução médica — TRADUSA;O mercado da saúde movimenta bilhões anualmente. A tradução está fortemente presente na área, uma vez que textos traduzidos têm ampla circulação. O objetivo da palestra é apresentar as oportunidades no mercado de tradução da área da saúde e discutir caminhos para a atuação profissional com Patrícia Gimenez.
Babel;curso básico de CAT Tools;Um curso com seis horas de duração, divididas em três dias, e que é direcionado a quem realmente não conhece nada ou muito pouco dessas ferramentas. As vagas são muito limitadas para que os instrutores possa dar atenção a todos, então, se você já usa alguma, não perca seu tempo, será um curso muito enfadonho para você. Em breve, traremos um curso mais avançado para quem já usa CAT Tools e enviaremos um e-mail informando.
CULT-Estácio;Tradução de textos da área médica: uma receita de sucesso — Ana Julia Perrotti;Entrar no mercado de tradução de textos médicos é o sonho de muita gente. No momento, pelas circunstâncias em que vivemos, com grande produção de material vindo da indústria farmacêutica, da produção de vacinas, dos estudos clínicos e dos artigos científicos, a demanda por tradutores profissionais, capacitados e preparados, está super aquecida. Venha conhecer um pouco desse universo e saber por que investir tempo e estudo nessa área pode trazer o sucesso profissional que você tanto espera.
CULT-Estácio;Localização em marketing: mais do que apenas criatividade — Juliana Lima;A tradução nas áreas de marketing e comunicação exige do profissional mais do que boas ideias. É preciso ter uma visão ampla sobre as possibilidades e limites do texto e do conteúdo. Saiba por que o conhecimento especializado vale muito para quem quer trabalhar nessa área que vem crescendo bastante no mundo da tradução.
CULT-Estácio;A importância da especialização na tradução da área médica — Luciana Bonancio;Não tem descrição.
CULT-Estácio;Como se especializar em tradução audiovisual — César Alárcon;Não tem descrição.
CULT-Estácio;Como se especializar em tradução audiovisual;Não tem descrição.
CULT-Estácio;Localização em marketing: mais do que apenas criatividade — Juliana Lima;A tradução nas áreas de marketing e comunicação exige do profissional mais do que boas ideias. É preciso ter uma visão ampla sobre as possibilidades e limites do texto e do conteúdo. Saiba por que o conhecimento especializado vale muito para quem quer trabalhar nessa área que vem crescendo bastante no mundo da tradução.
CULT-Estácio;Tradução de textos da área médica: uma receita de sucesso;Entrar no mercado de tradução de textos médicos é o sonho de muita gente. No momento, pelas circunstâncias em que vivemos, com grande produção de material vindo da indústria farmacêutica, da produção de vacinas, dos estudos clínicos e dos artigos científicos, a demanda por tradutores profissionais, capacitados e preparados, está super aquecida. Venha conhecer um pouco desse universo e saber por que investir tempo e estudo nessa área pode trazer o sucesso profissional que você tanto espera.
